Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Alcohol use disorders (%),Depression
0.197312274,0.816334462,0.207498416,5.047269202,1.687762508,0.664826759,1
0.197464077,0.816873571,0.208892032,5.051019134,1.696613096,0.665343736,1
0.197602216,0.817380018,0.209959719,5.054673908,1.70374185,0.665685269,1
0.197727657,0.817862336,0.211434171,5.058397773,1.709813861,0.665817197,1
0.197835965,0.818314994,0.21273496,5.062233213,1.714025046,0.665681327,1
0.19791314,0.818687153,0.213612216,5.065875684,1.717218255,0.665190886,1
0.252310988,0.464999471,0.187676712,3.255955304,0.745011302,1.153824877,0
0.251563615,0.46506533,0.186826193,3.259394292,0.745996161,1.15165012,0
0.25089804,0.465160059,0.185572209,3.263031191,0.746651577,1.149065847,0
0.250342482,0.465275016,0.184368567,3.266672984,0.74847137,1.146363902,0
0.24992823,0.465411099,0.183730306,3.27021087,0.750073523,1.143740443,0
0.249677922,0.4655412,0.182863964,3.273223343,0.751616824,1.141503496,0
0.24956553,0.465734837,0.182301903,3.276431319,0.753223387,1.13914224,0
0.249532359,0.465999809,0.181643862,3.279608379,0.754574319,1.136677797,0
0.249543143,0.466278904,0.180674913,3.282580319,0.757431579,1.134137249,0
0.249572981,0.466530239,0.180647753,3.285271931,0.758849891,1.131550259,0
0.249594429,0.466700809,0.180349976,3.28735369,0.759902385,1.129016349,0
0.249613859,0.466843249,0.179830399,3.289246409,0.760380234,1.126102913,0
0.249669179,0.467038751,0.180111399,3.290959744,0.760633171,1.123079564,0
0.249742178,0.467256233,0.179542993,3.292663916,0.760117457,1.120319532,0
0.249800137,0.467441356,0.180196897,3.294261377,0.760069077,1.118198942,0
0.2498378,0.467581307,0.180084344,3.295743726,0.759940089,1.117151566,0
0.249844324,0.467736657,0.180214586,3.298721992,0.760316306,1.118873177,0
0.249828499,0.46794517,0.18047815,3.303256513,0.761174933,1.123437437,0
0.249794957,0.468167155,0.180871341,3.308244084,0.761528978,1.129115893,0
0.249747537,0.468358832,0.180675005,3.312584107,0.763178375,1.134180371,0
0.24968602,0.468468548,0.180617825,3.314807287,0.763698724,1.136893497,0
0.249595702,0.468496924,0.180384397,3.315545118,0.764531359,1.137933621,0
0.249481073,0.468514533,0.180056448,3.316068143,0.765847944,1.138977642,0
0.249336667,0.468505948,0.180232457,3.316343537,0.766645255,1.139931603,0
0.249170453,0.468481383,0.179620905,3.316430918,0.768486365,1.140782358,0
0.2489808,0.468433819,0.179144084,3.316200751,0.769506509,1.141513431,0
0.248777045,0.468378738,0.178726387,3.31609147,0.771280727,1.142011375,0
0.248556655,0.468304898,0.177807528,3.315833755,0.772801488,1.142276745,0
0.195470746,0.870564303,0.287819784,4.217676585,0.60892057,1.748911791,0
0.195483594,0.870876454,0.289361636,4.220260893,0.610489486,1.743909992,0
0.195496921,0.871173737,0.29056331,4.22258653,0.611989768,1.738703075,0
0.195522548,0.871482282,0.29183316,4.224720688,0.613994673,1.733697353,0
0.195569047,0.87182279,0.293111111,4.226690415,0.616447888,1.729265788,0
0.195636541,0.872182541,0.294516045,4.228381751,0.618524387,1.725643298,0
0.195697417,0.872537557,0.296237,4.229969943,0.621586838,1.720921104,0
0.195734537,0.872875461,0.297929046,4.231529956,0.625305281,1.713772688,0
0.195761767,0.873184528,0.300129886,4.232912516,0.630320693,1.705295433,0
0.195791344,0.873443965,0.301996468,4.234050415,0.634339416,1.696533084,0
0.195846487,0.873680196,0.303784878,4.235025016,0.63789812,1.688634478,0
0.195980003,0.874077005,0.305270127,4.236760121,0.64196334,1.679069504,0
0.196207425,0.874750796,0.307078337,4.239841755,0.647796868,1.666051818,0
0.1964937,0.875594979,0.308965805,4.243710222,0.65363761,1.651636446,0
0.196795647,0.876470212,0.311292789,4.247764796,0.65959581,1.637763066,0
0.19704148,0.877108254,0.314079449,4.250725293,0.663046877,1.626136344,0
0.197326682,0.877579405,0.317318355,4.252878673,0.665252359,1.616266342,0
0.197746131,0.878117898,0.321957908,4.255351921,0.667873457,1.606860607,0
0.198219446,0.878657866,0.326928653,4.257755519,0.669442118,1.5982784,0
0.198670696,0.879161457,0.331577059,4.259968265,0.670635612,1.590827992,0
0.199012732,0.879537597,0.335297195,4.26160247,0.672223895,1.584706705,0
0.199294849,0.879847152,0.337861795,4.26284645,0.67266624,1.578810537,0
0.199608019,0.88016132,0.340892957,4.263969696,0.672322806,1.572008807,0
0.19994756,0.880485371,0.344129543,4.265011911,0.670736688,1.564437753,0
0.20031172,0.880816544,0.34746265,4.265927597,0.66906898,1.556634471,0
0.200693062,0.881143047,0.3501267,4.266704231,0.667189185,1.548874088,0
0.201078665,0.881435126,0.352934511,4.267248474,0.664814623,1.541201115,0
0.201470998,0.881737452,0.355474694,4.267738084,0.661481438,1.533572802,0
0.266166203,0.964596937,0.585916591,5.242673015,0.851842798,1.187785552,1
0.265972119,0.964144315,0.580842863,5.2382067,0.85618944,1.190352815,1
0.265631666,0.964493015,0.579633167,5.242052572,0.857618404,1.18904789,1
0.265394097,0.96411263,0.578330512,5.237867818,0.86118846,1.191463759,1
0.265059651,0.965153099,0.580882274,5.247594944,0.862533362,1.189041823,1
0.264785484,0.966212057,0.58395408,5.257837238,0.863030896,1.186943296,1
0.264570176,0.966924166,0.588271199,5.267349721,0.864966092,1.18900579,1
0.26435264,0.96733704,0.591575394,5.266990792,0.866898454,1.197233757,1
0.264106491,0.967761273,0.596932623,5.272512145,0.86985601,1.205990785,1
0.263887372,0.968147273,0.602401749,5.275783851,0.874064147,1.215116541,1
0.263767171,0.968842844,0.609424286,5.281196345,0.876375261,1.218826419,1
0.263837311,0.968632057,0.616895507,5.288346058,0.878850606,1.219283817,1
0.264077085,0.966866419,0.625134853,5.290164324,0.883198514,1.221248549,1
0.264440922,0.964067735,0.63360474,5.28721718,0.888697143,1.225413164,1
0.264815643,0.96146123,0.637792854,5.281306715,0.894415288,1.231805981,1
0.264997919,0.960683177,0.640783862,5.28109091,0.897550769,1.235315725,1
0.265011693,0.960506194,0.641946339,5.276253566,0.90051929,1.24068251,1
0.264884975,0.960579779,0.643460401,5.275007491,0.901851998,1.245926737,1
0.264692435,0.96090713,0.645572291,5.278366623,0.901680026,1.248913999,1
0.264456713,0.961373452,0.647336947,5.283986285,0.901956572,1.250261315,1
0.264305237,0.961726453,0.648239925,5.287139072,0.901630458,1.250824263,1
0.264053944,0.963822312,0.652492259,5.310742639,0.898473479,1.24268324,1
0.264008523,0.963906246,0.651260627,5.311803455,0.900335579,1.245344318,1
0.263868722,0.964152,0.651221903,5.314755442,0.900575988,1.245314502,1
0.26379063,0.963960443,0.649979496,5.313837106,0.903323145,1.248614188,1
0.263712998,0.96375427,0.647220589,5.310493133,0.905575242,1.25192608,1
0.263603291,0.963613946,0.645774777,5.307072933,0.907981131,1.253886078,1
0.263512451,0.963331293,0.644558567,5.305374693,0.91006607,1.256050036,1
0.166446405,0.615108868,0.137854378,3.208216738,0.513618113,1.489682872,1
